p_99841006	hasEntityType	paper	1.0
p_995557784	hasEntityType	paper	1.0
p_9953737	hasEntityType	paper	1.0
p_99534620	hasEntityType	paper	1.0
p_99512468	hasEntityType	paper	1.0
p_993568125	hasEntityType	paper	1.0
p_99255033	hasEntityType	paper	1.0
p_99234987	hasEntityType	paper	1.0
p_9908755	hasEntityType	paper	1.0
p_9908278	hasEntityType	paper	1.0
p_99071911	hasEntityType	paper	1.0
p_99034887	hasEntityType	paper	1.0
p_99023140	hasEntityType	paper	1.0
p_98921677	hasEntityType	paper	1.0
p_98918057	hasEntityType	paper	1.0
p_98852465	hasEntityType	paper	1.0
p_98819805	hasEntityType	paper	1.0
p_98751704	hasEntityType	paper	1.0
p_98727980	hasEntityType	paper	1.0
p_98714740	hasEntityType	paper	1.0
p_98705279	hasEntityType	paper	1.0
p_98609384	hasEntityType	paper	1.0
p_98587197	hasEntityType	paper	1.0
p_98500882	hasEntityType	paper	1.0
p_98399127	hasEntityType	paper	1.0
p_98287979	hasEntityType	paper	1.0
p_98212403	hasEntityType	paper	1.0
p_981367280	hasEntityType	paper	1.0
p_98116532	hasEntityType	paper	1.0
p_980671852	hasEntityType	paper	1.0
p_98016204	hasEntityType	paper	1.0
p_97943101	hasEntityType	paper	1.0
p_97875252	hasEntityType	paper	1.0
p_978581747	hasEntityType	paper	1.0
p_97703335	hasEntityType	paper	1.0
p_97697695	hasEntityType	paper	1.0
p_97622340	hasEntityType	paper	1.0
p_975700073	hasEntityType	paper	1.0
p_97520557	hasEntityType	paper	1.0
p_97399927	hasEntityType	paper	1.0
p_972743092	hasEntityType	paper	1.0
p_972662814	hasEntityType	paper	1.0
p_97204832	hasEntityType	paper	1.0
p_97067911	hasEntityType	paper	1.0
p_97061813	hasEntityType	paper	1.0
p_969985410	hasEntityType	paper	1.0
p_96966928	hasEntityType	paper	1.0
p_969082343	hasEntityType	paper	1.0
p_96904004	hasEntityType	paper	1.0
p_96866007	hasEntityType	paper	1.0
p_96864468	hasEntityType	paper	1.0
p_96762749	hasEntityType	paper	1.0
p_96757190	hasEntityType	paper	1.0
p_96685666	hasEntityType	paper	1.0
p_966544087	hasEntityType	paper	1.0
p_964687071	hasEntityType	paper	1.0
p_9642859	hasEntityType	paper	1.0
p_96379633	hasEntityType	paper	1.0
p_96207593	hasEntityType	paper	1.0
p_96192410	hasEntityType	paper	1.0
p_96171864	hasEntityType	paper	1.0
p_96141336	hasEntityType	paper	1.0
p_96131452	hasEntityType	paper	1.0
p_95915554	hasEntityType	paper	1.0
p_95790104	hasEntityType	paper	1.0
p_95758030	hasEntityType	paper	1.0
p_95735922	hasEntityType	paper	1.0
p_95576201	hasEntityType	paper	1.0
p_955726156	hasEntityType	paper	1.0
p_95529755	hasEntityType	paper	1.0
p_955272053	hasEntityType	paper	1.0
p_95508110	hasEntityType	paper	1.0
p_95439554	hasEntityType	paper	1.0
p_953868	hasEntityType	paper	1.0
p_952881364	hasEntityType	paper	1.0
p_95284390	hasEntityType	paper	1.0
p_95234126	hasEntityType	paper	1.0
p_9519625	hasEntityType	paper	1.0
p_95135451	hasEntityType	paper	1.0
p_95095530	hasEntityType	paper	1.0
p_94932818	hasEntityType	paper	1.0
p_94915179	hasEntityType	paper	1.0
p_94862620	hasEntityType	paper	1.0
p_94836975	hasEntityType	paper	1.0
p_947835288	hasEntityType	paper	1.0
p_94716478	hasEntityType	paper	1.0
p_9463155	hasEntityType	paper	1.0
p_94552234	hasEntityType	paper	1.0
p_94495030	hasEntityType	paper	1.0
p_94404833	hasEntityType	paper	1.0
p_94322366	hasEntityType	paper	1.0
p_94203212	hasEntityType	paper	1.0
p_94158244	hasEntityType	paper	1.0
p_94128116	hasEntityType	paper	1.0
p_94023031	hasEntityType	paper	1.0
p_93946002	hasEntityType	paper	1.0
p_93910733	hasEntityType	paper	1.0
p_937842695	hasEntityType	paper	1.0
p_93778031	hasEntityType	paper	1.0
p_93742489	hasEntityType	paper	1.0
p_93719868	hasEntityType	paper	1.0
p_93571089	hasEntityType	paper	1.0
p_93558228	hasEntityType	paper	1.0
p_93531564	hasEntityType	paper	1.0
p_93292937	hasEntityType	paper	1.0
p_93247917	hasEntityType	paper	1.0
p_93175922	hasEntityType	paper	1.0
p_93136951	hasEntityType	paper	1.0
p_92962286	hasEntityType	paper	1.0
p_929599	hasEntityType	paper	1.0
p_92935989	hasEntityType	paper	1.0
p_92863894	hasEntityType	paper	1.0
p_92812941	hasEntityType	paper	1.0
